#	Isochrone	Z = 0.00100		Age = 	6.310e+07 yr
# log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	Mv	U-B	B-V	V-I	stage
# log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	Mv	U-B	B-V	V-I	stage
	8.45	2.5693	2.567	2.051	4.130	4.26	0.646	-0.426	-0.115	-0.118	 TO       
	8.45	2.9250	2.921	2.363	4.103	3.90	-0.283	-0.381	-0.111	-0.102	 Te-m     
	8.45	2.9498	2.945	2.454	4.156	4.02	-0.203	-0.500	-0.136	-0.127	 Te-M     
	8.45	2.9541	2.949	2.496	4.016	3.42	-1.085	-0.179	-0.067	-0.036	 L-M      
	8.45	2.9588	2.954	2.327	3.736	2.47	-0.879	0.035	0.646	0.804	 RGBb     
	8.45	2.9628	2.958	2.703	3.706	1.97	-1.740	0.208	0.799	0.925	 RGBt     
	8.45	3.0296	3.017	2.559	3.724	2.20	-1.432	0.102	0.709	0.856	 BHeb     
	8.45	3.1274	3.105	2.813	3.904	2.68	-2.285	0.108	0.049	0.131	 Te-M     
	8.45	3.1605	3.134	2.751	3.719	2.00	-1.904	0.135	0.735	0.874	 EHeb     
	8.45	3.1669	3.115	4.126	3.613	0.21	-4.648	1.475	1.454	1.484	 1TP      
	8.45	3.1728	1.187	4.499	3.578	-0.73	-5.253	1.716	1.535	1.765	 AGBt
#	Isochrone	Z = 0.00100		Age = 	3.162e+08 yr
# log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	Mv	U-B	B-V	V-I	stage
	8.50	2.4420	2.440	1.973	4.117	4.27	0.767	-0.397	-0.107	-0.112	 TO       
	8.50	2.7778	2.774	2.283	4.090	3.90	-0.156	-0.351	-0.107	-0.094	 Te-m     
	8.50	2.8015	2.797	2.377	4.144	4.03	-0.084	-0.473	-0.128	-0.120	 Te-M     
	8.50	2.8056	2.801	2.415	4.006	3.44	-0.933	-0.146	-0.058	-0.032	 L-M      
	8.50	2.8104	2.806	2.244	3.739	2.54	-0.677	0.023	0.637	0.797	 RGBb     
	8.50	2.8151	2.810	2.644	3.707	2.01	-1.595	0.200	0.794	0.921	 RGBt     
	8.50	2.8748	2.863	2.457	3.726	2.29	-1.182	0.085	0.695	0.845	 BHeb     
	8.50	2.9714	2.951	2.735	3.906	2.74	-2.084	0.105	0.047	0.125	 Te-M     
	8.50	3.0038	2.979	2.657	3.724	2.10	-1.680	0.108	0.708	0.854	 EHeb     
	8.50	3.0102	2.961	4.079	3.614	0.23	-4.542	1.459	1.447	1.475	 1TP      
	8.50	3.0152	1.145	4.469	3.578	-0.72	-5.176	1.717	1.536	1.769	 AGBt
#	Isochrone	Z = 0.00100		Age = 	3.548e+08 yr
# log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	Mv	U-B	B-V	V-I	stage
	8.55	2.3283	2.326	1.899	4.105	4.27	0.882	-0.365	-0.102	-0.105	 TO       
	8.55	2.6381	2.634	2.204	4.077	3.91	-0.031	-0.320	-0.100	-0.086	 Te-m     
	8.55	2.6607	2.656	2.300	4.132	4.04	0.035	-0.442	-0.120	-0.116	 Te-M     
	8.55	2.6646	2.660	2.335	3.997	3.46	-0.780	-0.112	-0.049	-0.026	 L-M      
	8.55	2.6694	2.665	2.162	3.741	2.61	-0.474	0.012	0.629	0.790	 RGBb     
	8.55	2.6747	2.670	2.585	3.707	2.06	-1.450	0.192	0.789	0.918	 RGBt     
	8.55	2.7278	2.718	2.352	3.729	2.38	-0.926	0.068	0.681	0.834	 BHeb     
	8.55	2.8242	2.806	2.650	3.889	2.74	-1.885	0.120	0.094	0.179	 Te-M     
	8.55	2.8639	2.840	2.598	3.724	2.13	-1.532	0.106	0.709	0.855	 EHeb     
	8.55	2.8697	2.823	4.019	3.616	0.28	-4.417	1.424	1.435	1.456	 1TP      
	8.55	2.8741	1.110	4.444	3.577	-0.70	-5.109	1.719	1.536	1.773	 AGBt
#	Isochrone	Z = 0.00100		Age = 	3.981e+08 yr
# log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	Mv	U-B	B-V	V-I	stage
	8.60	2.2200	2.218	1.825	4.093	4.28	0.998	-0.334	-0.097	-0.098	 TO       
	8.60	2.5053	2.501	2.125	4.064	3.91	0.095	-0.284	-0.087	-0.073	 Te-m     
	8.60	2.5270	2.523	2.222	4.119	4.04	0.155	-0.411	-0.112	-0.112	 Te-M     
	8.60	2.5307	2.527	2.254	3.987	3.48	-0.622	-0.076	-0.039	-0.017	 L-M      
	8.60	2.5355	2.531	2.080	3.743	2.68	-0.271	0.003	0.622	0.783	 RGBb     
	8.60	2.5413	2.537	2.526	3.708	2.10	-1.305	0.185	0.784	0.915	 RGBt     
	8.60	2.5883	2.579	2.248	3.732	2.47	-0.669	0.051	0.667	0.823	 BHeb     
	8.60	2.6844	2.668	2.564	3.872	2.74	-1.670	0.107	0.149	0.241	 Te-M     
	8.60	2.7306	2.708	2.541	3.723	2.17	-1.386	0.105	0.711	0.857	 EHeb     
	8.60	2.7364	2.693	3.958	3.618	0.33	-4.291	1.387	1.421	1.437	 1TP      
	8.60	2.7405	1.076	4.419	3.577	-0.69	-5.043	1.720	1.537	1.776	 AGBt
#	Isochrone	Z = 0.00100		Age = 	4.467e+08 yr
# log(age/yr)	M_ini	M_act	logL/Lo	logTe	logG	Mv	U-B	B-V	V-I	stage
	8.65	2.1220	2.120	1.755	4.081	4.28	1.109	-0.308	-0.090	-0.091	 TO       
	8.65	2.3884	2.385	2.050	4.052	3.92	0.215	-0.248	-0.078	-0.065	 Te-m     
	8.65	2.4072	2.403	2.149	4.107	4.04	0.272	-0.381	-0.109	-0.106	 Te-M     
	8.65	2.4106	2.407	2.178	3.979	3.51	-0.468	-0.045	-0.031	-0.003	 L-M      
